id|num_llamad_ent|num_llamad_sal|mb_datos|seg_llamad_ent|seg_llamad_sal
1|110|79|10897|12806|13751
2|189|89|18657|6499|10862
3|129|30|15511|17013|16743
4|51|52|12670|3393|6771
5|183|3|23756|18436|4485
6|204|51|18428|8956|4764
7|217|43|80|16406|19797
8|38|73|19850|11503|19279
9|5|74|4854|19518|382
10|35|89|10188|8889|4748
11|116|46|15118|17889|18823
12|23|84|20302|5103|5684
13|118|13|18030|16766|13801
14|169|47|21027|2780|3217
15|239|5|360|7755|11710
16|140|77|22630|17673|2638
17|94|29|3422|3268|3235
18|20|92|11226|2479|18801
19|203|99|20188|12572|18881
20|178|13|23528|11452|9087
21|105|19|13337|7178|16602
22|187|55|13118|8243|2020
23|83|95|23919|5877|12193
24|71|55|23702|19393|16475
25|224|6|11411|15489|9579
26|121|92|14971|733|8628
27|235|60|24013|3416|16284
28|107|54|9176|4334|6461
29|184|36|1628|17489|3718
30|136|85|15913|9667|16099
31|17|37|4718|2012|18816
32|110|14|8955|12151|8105
33|180|56|12655|11943|12850
34|24|1|3614|2081|1256
35|68|23|13885|10594|1624
36|83|97|14737|12006|2106
37|80|25|7718|5575|5866
38|42|28|12027|3366|847
39|221|52|16408|288|7566
40|4|9|2507|15287|19738
41|144|32|904|822|13882
42|242|79|13937|10022|14902
43|83|34|16986|12906|7376
44|14|77|23421|19895|10979
45|243|86|9688|9818|14477
46|176|54|23447|19217|13233
47|120|92|12163|6246|16862
49|31|61|1576|7556|11538
50|8|17|18405|9224|13352
51|35|8|16669|847|11170
52|61|85|6033|13936|16342
53|185|11|6825|588|17974
54|33|15|15862|17077|436
55|40|27|14311|19787|14094
56|205|80|6659|824|13006
57|167|49|4942|17835|18146
58|7|48|24489|15206|275
59|142|58|12882|11389|18577
60|212|77|23769|16020|6959
61|11|45|6744|5535|5713
62|98|40|18889|17830|19994
63|224|52|9156|15571|2680
64|106|94|18986|4900|12320
65|144|39|17096|6901|9538
66|152|71|20588|19543|18257
67|9|36|8756|18180|10826
68|136|30|19776|12335|711
69|193|79|20099|17868|9187
70|159|30|12051|5569|18891
71|66|33|5143|3948|13048
72|234|36|19234|7675|3286
73|9|61|8145|10060|11685
