id|conexion|vel_conexion|TV
1|FIBRA|50MB|tv-futbol
2|FIBRA|600MB|tv-futbol
3|ADSL|35MB|tv-futbol
4|FIBRA|200MB|tv-familiar
5|ADSL|10MB|tv-futbol
6|FIBRA|200MB|tv-futbol
7|ADSL|25MB|tv-futbol
8|ADSL|30MB|tv-futbol
9|ADSL|35MB|tv-total
10|ADSL|600MB|tv-total
11|ADSL|10MB|tv-futbol
12|FIBRA|100MB|tv-total
13|FIBRA|16598|tv-familiar
14|ADSL|20MB|tv-futbol
15|ADSL|30MB|tv-familiar
16|ADSL|10MB|tv-familiar
17|ADSL|25MB|tv-familiar
18|ADSL|35MB|tv-familiar
19|FIBRA|300MB|tv-futbol
20|FIBRA|100MB|tv-futbol
21|ADSL|15MB|tv-futbol
22|FIBRA|100MB|tv-futbol
23|FIBRA|200MB|tv-familiar
24|FIBRA|50MB|tv-familiar
25|FIBRA|200MB|tv-futbol
26|FIBRA|200MB|tv-familiar
27|ADSL|15MB|tv-familiar
28|FIBRA|600MB|tv-futbol
29|ADSL|25MB|tv-futbol
30|ADSL|25MB|tv-futbol
31|ADSL|35MB|tv-familiar
32|ADSL|10MB|tv-futbol
33|ADSL|50MB|tv-familiar
34|FIBRA|300MB|tv-futbol
35|FIBRA|200MB|tv-familiar
36|FIBRA|100MB|tv-futbol
37|ADSL|15MB|tv-total
38|ADSL|30MB|tv-familiar
39|FIBRA|600MB|tv-futbol
40|ADSL|20MB|tv-futbol
41|ADSL|10MB|tv-futbol
42|ADSL|15MB|tv-futbol
43|ADSL|10MB|tv-familiar
44|FIBRA|50MB|tv-familiar
45|FIBRA|50MB|tv-total
46|ADSL|15MB|tv-familiar
47|ADSL|10MB|tv-familiar
49|FIBRA|300MB|tv-total
50|FIBRA|200MB|tv-futbol
51|ADSL|10MB|tv-futbol
52|FIBRA|600MB|tv-familiar
53|FIBRA|50MB|tv-familiar
54|ADSL|30MB|tv-futbol
55|ADSL|10MB|tv-futbol
56|FIBRA|600MB|tv-total
57|FIBRA|300MB|tv-familiar
58|FIBRA|300MB|tv-familiar
59|FIBRA|300MB|tv-familiar
60|FIBRA|200MB|tv-futbol
61|FIBRA|300MB|tv-futbol
62|ADSL|15MB|tv-familiar
63|FIBRA|100MB|tv-familiar
64|ADSL|15MB|tv-total
65|ADSL|30MB|tv-total
66|ADSL|30MB|tv-familiar
67|FIBRA|100MB|tv-futbol
68|ADSL|600MB|tv-familiar
69|FIBRA|200MB|tv-futbol
70|FIBRA|50MB|tv-familiar
71|ADSL|25MB|tv-futbol
72|FIBRA|100MB|tv-futbol
73|ADSL|35MB|tv-futbol
74|FIBRA|100MB|tv-familiar
75|FIBRA|200MB|tv-familiar
76|FIBRA|50MB|tv-familiar
77|FIBRA|50MB|tv-futbol
78|ADSL|35MB|tv-familiar
79|ADSL|30MB|tv-total
80|ADSL|15MB|tv-familiar
81|ADSL|15MB|tv-familiar
82|ADSL|20MB|tv-futbol
83|FIBRA|300MB|tv-total
84|FIBRA|50MB|tv-familiar
85|FIBRA|600MB|tv-futbol
86|FIBRA|600MB|tv-familiar
87|ADSL|20MB|tv-futbol
88|FIBRA|200MB|tv-futbol
89|FIBRA|50MB|tv-familiar
90|ADSL|25MB|tv-familiar
92|ADSL|15MB|tv-futbol
93|ADSL|25MB|tv-futbol
94|ADSL|15MB|tv-familiar
95|ADSL|15MB|tv-futbol
96|ADSL|35MB|tv-futbol
97|ADSL|15MB|tv-futbol
98|FIBRA|100MB|tv-total
99|ADSL|30MB|tv-futbol
100|FIBRA|300MB|tv-total
101|FIBRA|100MB|tv-familiar
102|FIBRA|200MB|tv-total
103|ADSL|30MB|tv-futbol
104|FIBRA|100MB|tv-familiar
105|FIBRA|300MB|tv-familiar
106|ADSL|20MB|tv-total
107|FIBRA|50MB|tv-futbol
108|FIBRA|50MB|tv-total
109|ADSL|35MB|tv-futbol
110|FIBRA|100MB|tv-futbol
111|ADSL|35MB|tv-familiar
112|FIBRA|200MB|tv-futbol
113|ADSL|30MB|tv-total
114|FIBRA|50MB|tv-futbol
115|ADSL|25MB|tv-total
116|ADSL|20MB|tv-futbol
117|FIBRA|300MB|tv-familiar
118|FIBRA|50MB|tv-familiar
119|ADSL|30MB|tv-familiar
120|FIBRA|50MB|tv-futbol
121|ADSL|600MB|tv-total
122|ADSL|20MB|tv-futbol
123|ADSL|15MB|tv-futbol
124|FIBRA|50MB|tv-familiar
125|ADSL|10MB|tv-futbol
126|FIBRA|100MB|tv-futbol
127|ADSL|30MB|tv-total
128|ADSL|15MB|tv-total
129|ADSL|25MB|tv-familiar
130|ADSL|25MB|tv-familiar
131|ADSL|15MB|tv-total
132|ADSL|20MB|tv-familiar
133|ADSL|25MB|tv-futbol
134|ADSL|10MB|tv-familiar
135|FIBRA|200MB|tv-familiar
136|FIBRA|100MB|tv-familiar
137|FIBRA|600MB|tv-futbol
138|FIBRA|100MB|tv-futbol
139|ADSL|35MB|tv-total
140|FIBRA|100MB|tv-futbol
141|ADSL|25MB|tv-total
142|ADSL|35MB|tv-futbol
143|ADSL|15MB|tv-familiar
144|FIBRA|600MB|tv-total
145|ADSL|30MB|tv-futbol
146|ADSL|30MB|tv-futbol
147|FIBRA|100MB|tv-futbol
148|FIBRA|200MB|tv-familiar
149|FIBRA|200MB|tv-familiar
150|FIBRA|600MB|tv-total
151|ADSL|35MB|tv-total
152|ADSL|30MB|tv-futbol
153|FIBRA|300MB|tv-familiar
154|ADSL|10MB|tv-futbol
155|ADSL|15MB|tv-futbol
156|FIBRA|200MB|tv-familiar
157|ADSL|35MB|tv-futbol
158|ADSL|10MB|tv-futbol
159|ADSL|600MB|tv-futbol
160|FIBRA|100MB|tv-futbol
161|ADSL|20MB|tv-total
162|FIBRA|50MB|tv-familiar
163|FIBRA|200MB|tv-total
164|FIBRA|300MB|tv-futbol
165|FIBRA|100MB|tv-familiar
166|ADSL|35MB|tv-futbol
167|FIBRA|200MB|tv-familiar
168|ADSL|35MB|tv-total
169|ADSL|25MB|tv-futbol
170|ADSL|10MB|tv-futbol
171|FIBRA|200MB|tv-total
172|FIBRA|100MB|tv-familiar
173|FIBRA|200MB|tv-familiar
174|FIBRA|600MB|tv-futbol
175|ADSL|30MB|tv-futbol
176|ADSL|10MB|tv-futbol
177|FIBRA|100MB|tv-familiar
178|ADSL|600MB|tv-futbol
179|FIBRA|100MB|tv-familiar
180|FIBRA|200MB|tv-futbol
181|FIBRA|200MB|tv-futbol
182|ADSL|15MB|tv-futbol
183|FIBRA|300MB|tv-futbol
184|ADSL|10MB|tv-futbol
185|ADSL|25MB|tv-futbol
186|ADSL|10MB|tv-familiar
187|FIBRA|600MB|tv-familiar
188|ADSL|30MB|tv-futbol
189|FIBRA|100MB|tv-total
190|FIBRA|200MB|tv-futbol
191|ADSL|15MB|tv-total
192|FIBRA|50MB|tv-futbol
193|ADSL|25MB|tv-futbol
194|ADSL|10MB|tv-familiar
195|ADSL|100MB|tv-futbol
196|ADSL|15MB|tv-futbol
197|ADSL|30MB|tv-futbol
198|FIBRA|100MB|tv-familiar
199|FIBRA|100MB|tv-familiar
200|FIBRA|50MB|tv-familiar
201|FIBRA|100MB|tv-familiar
202|FIBRA|100MB|tv-futbol
203|ADSL|15MB|tv-total
204|ADSL|15MB|tv-familiar
205|FIBRA|200MB|tv-futbol
206|ADSL|30MB|tv-futbol
207|ADSL|25MB|tv-total
208|FIBRA|50MB|tv-familiar
209|ADSL|25MB|tv-total
210|ADSL|30MB|tv-familiar
211|FIBRA|100MB|tv-futbol
212|FIBRA|50MB|tv-total
213|ADSL|20MB|tv-familiar
214|FIBRA|300MB|tv-futbol
215|ADSL|35MB|tv-futbol
216|ADSL|35MB|tv-futbol
217|FIBRA|600MB|tv-familiar
218|ADSL|10MB|tv-familiar
219|ADSL|30MB|tv-total
220|ADSL|35MB|tv-total
221|FIBRA|600MB|tv-futbol
222|ADSL|20MB|tv-total
223|FIBRA|600MB|tv-futbol
224|ADSL|25MB|tv-futbol
225|FIBRA|50MB|tv-futbol
226|ADSL|10MB|tv-futbol
227|ADSL|25MB|tv-familiar
228|FIBRA|300MB|tv-familiar
229|FIBRA|200MB|tv-familiar
230|FIBRA|600MB|tv-futbol
231|FIBRA|50MB|tv-familiar
232|FIBRA|50MB|tv-futbol
233|FIBRA|50MB|tv-futbol
234|ADSL|15MB|tv-total
235|ADSL|10MB|tv-familiar
236|ADSL|600MB|tv-futbol
237|FIBRA|300MB|tv-futbol
238|FIBRA|600MB|tv-total
239|FIBRA|600MB|tv-futbol
240|FIBRA|50MB|tv-futbol
