id|num_llamad_ent|num_llamad_sal|mb_datos|seg_llamad_ent|seg_llamad_sal
1|95|19|6525|7634|18520
2|44|36|14471|14541|8016
3|94|27|1428|5248|7106
4|186|20|20083|7372|5052
6|37|32|19078|5009|8686
7|78|96|3032|5118|11695
8|183|9|16442|7771|13478
9|152|16|17184|10493|11638
11|97|43|10961|10288|13798
12|187|41|14428|9837|14834
13|67|84|17947|12162|4918
14|79|15|6060|9689|9723
15|78|59|8210|6143|12664
17|8|8|2984|11299|18981
18|124|25|2134|4109|414
19|223|38|1950|4547|1021
20|28|4|7164|16794|12651
21|212|10|7849|2361|13679
22|205|34|11974|16642|2059
23|192|87|15364|7728|422
24|203|5|2608|13386|10338
25|32|21|20348|7469|694
26|154|23|14924|2245|11326
27|35|14|7753|2366|14622
28|154|51|8529|1224|3859
29|101|64|7642|7134|18726
30|81|78|12903|14118|13152
31|122|41|19058|5567|2407
32|46|6|4569|7014|6850
34|22|10|18932|10136|14482
35|136|77|13034|10329|19488
36|86|71|43|5861|3547
37|70|90|21066|4191|18997
38|157|91|24346|17313|15950
39|39|71|11004|19409|8842
40|136|1|9501|16232|17221
41|219|12|4167|17396|2874
42|96|16|12478|4883|6649
43|133|98|21344|1820|8473
44|152|91|11976|10843|13211
45|172|79|1646|10286|19508
46|200|84|17194|19957|6018
47|190|71|1426|19128|17217
48|96|33|5935|9391|7488
49|85|97|18623|9473|12350
50|58|52|13013|4766|594
51|25|92|11870|9736|17905
52|139|17|16792|14458|17889
53|182|60|75|19344|5646
55|204|79|2177|18817|16239
56|140|77|11618|1073|1382
57|249|68|16334|16983|14519
58|242|83|19776|16987|48
59|135|72|19772|3342|1347
60|131|26|14981|11384|9759
61|3|12|21092|19964|11267
62|200|94|3099|7949|9495
63|80|26|16659|3649|14213
65|152|74|304|17449|12919
66|230|79|16514|17068|2572
67|56|2|892|15347|8794
69|207|88|18693|4691|18591
70|179|39|4296|6675|8466
71|145|25|22198|7304|8084
72|22|47|12470|11915|1580
73|201|64|14383|12517|18402
74|12|25|24601|15939|14418
75|75|44|3061|3904|18047
76|223|13|9503|5963|3961
77|229|25|6135|11404|2147
78|21|97|8533|7377|13819
79|189|47|3253|15747|9090
80|208|53|10254|4418|137
81|137|24|6606|17892|1100
82|120|2|24616|15292|1132
83|63|20|20354|7714|13172
84|171|1|24898|11979|8224
85|249|34|22342|7673|8274
86|201|37|14662|13418|3482
88|85|5|8816|19013|458
89|76|7|22240|6624|1418
90|42|33|16677|19140|15681
91|144|27|10567|17048|19291
93|91|83|13563|273|19540
94|173|67|10397|87|15749
95|111|8|9372|13021|10035
96|86|90|2142|1500|5798
97|18|74|20993|12567|895
98|169|11|20793|12054|4174
99|65|78|22051|8669|779
100|214|73|23040|19050|18011
101|130|27|3797|8527|13913
102|3|71|12875|5719|2021
103|48|37|15561|6400|7193
104|250|93|6254|2248|9291
105|241|13|7844|11043|8155
106|247|61|13051|11569|11867
107|74|92|13618|18051|15652
108|250|78|675|19953|10153
109|59|18|7099|4876|17396
110|68|94|14289|6736|10565
111|89|12|9116|15314|2069
112|198|24|5260|5043|16659
113|52|12|3790|7919|11254
114|133|79|24123|6134|15105
115|204|31|21010|19794|19939
116|143|41|1144|8899|14796
117|211|51|14226|12397|2948
118|247|34|16120|3760|7090
119|147|74|15810|1024|16546
120|69|25|19266|2074|17332
122|236|22|8698|1106|16977
123|119|13|24052|18462|10910
124|247|1|8397|7270|14336
125|33|66|8270|10973|362
126|57|10|15760|19321|17195
127|107|73|17999|12573|16846
128|157|32|3096|16399|13513
129|237|24|23321|4632|17945
130|250|30|17473|4678|17039
131|165|16|13729|2970|16370
132|212|28|19139|13950|10925
133|172|19|11786|12425|18747
134|18|68|23274|5944|17315
135|3|84|15736|6945|7078
136|211|66|14256|5892|5697
137|230|45|5867|15898|4432
138|86|60|9674|7041|6486
139|177|16|22032|19983|17591
140|130|95|1257|5803|16694
141|199|81|5026|436|15356
142|151|90|10730|13412|10148
143|147|90|11880|13601|4452
144|102|88|2609|16823|12968
145|141|50|17590|5801|16021
146|149|38|969|2584|3440
147|92|49|7611|1904|6362
148|206|74|20851|13221|5887
149|176|90|13327|7902|2911
150|2|38|23007|8036|1334
151|155|37|13138|19615|3722
152|154|36|14621|13599|19173
153|142|96|3669|11861|4783
154|139|51|13867|4548|18520
155|77|7|3747|8965|14109
156|96|7|23645|9145|19293
157|59|95|20608|9720|2108
158|186|2|18759|14161|2355
160|203|86|12083|18153|12422
161|196|38|6850|8868|3188
162|78|24|14902|8322|15859
163|178|92|20083|13620|5304
164|64|67|21955|15148|8646
165|160|100|16064|12832|8270
166|155|64|23352|13997|4187
167|52|89|7631|19481|3234
168|43|48|15472|14134|7020
169|0|81|8639|11211|6639
170|194|20|23564|11901|15606
171|171|97|15381|4775|8459
172|76|66|8703|19859|15864
173|118|76|15533|17998|6732
174|95|46|20653|7968|934
175|45|83|5253|17573|13183
176|11|8|10587|11856|3479
177|249|1|22466|4430|18610
179|89|72|17266|15967|10782
180|97|9|14824|9648|18228
181|55|55|20946|7629|11438
182|201|96|10825|7611|15834
183|132|77|15551|553|1723
184|139|47|24414|72|19772
185|187|40|24402|18706|12926
