id|financiacion|imp_financ|descuentos
2|||SI
3|||SI
7|SI|31.553268557810696|
11|||SI
12|||SI
15|SI|28.518747062204532|
18|||SI
21|||SI
23|SI|27.16403305948912|
25|||SI
27|||SI
28|||SI
31|||SI
32|||SI
40|||SI
44|||SI
47|||SI
48|SI|12.009493638002672|
59|SI|27.74017107096037|
63|||SI
76|||SI
81|||SI
84|SI|14.066924191628635|
94|||SI
95|||SI
97|||SI
98|SI|23.95972316057486|
99|||SI
107|SI|18.64764123167709|
116|||SI
128|||SI
130|||SI
133|||SI
139|||SI
142|||SI
146|||SI
149|||SI
154|||SI
162|SI|6.390754280269027|
165|||SI
169|SI|24.689150989402016|
173|||SI
175|||SI
180|||SI
186|||SI
187|||SI
188|SI|7.1059968655456585|
194|SI|14.596738055424195|
196|||SI
199|SI|5.0353924088251345|
200|SI|16.39894247529788|
216|||SI
217|||SI
220|SI|34.94860730571229|
222|||SI
224|||SI
227|||SI
229|SI|9.919274215280009|
233|||SI
241|||SI
244|SI|34.288599662524874|SI
246|||SI
249|||SI
250|SI|16.35505990397376|
257|||SI
258|SI|33.1770188881394|
259|||SI
262|||SI
263|||SI
274|||SI
276|SI|22.101248280090328|
278|SI|25.508975882045714|SI
280|||SI
287|||SI
289|||SI
290|||SI
291|||SI
294|||SI
295|SI|8.477143322448182|
297|SI|9.772444423700419|SI
298|SI|34.125913238082106|
303|||SI
308|||SI
309|||SI
310|||SI
312|||SI
314|SI|25.17120120270752|SI
318|||SI
319|SI|27.65152674340181|
322|||SI
324|SI|22.276742649654217|SI
327|SI|27.64534169771727|SI
339|||SI
343|||SI
344|||SI
345|||SI
354|SI|19.842813291818448|
355|||SI
356|||SI
358|SI|9.78070290611399|
361|SI|20.776724039562453|SI
363|||SI
364|||SI
366|SI|23.501471072099275|SI
373|SI|18.75794858553891|
376|SI|38.49397650820026|
383|||SI
388|||SI
389|||SI
391|||SI
393|SI|32.37395433793468|
395|||SI
396|||SI
400|||SI
401|||SI
402|||SI
409|SI|28.38080187065446|
414|||SI
416|||SI
420|||SI
421|||SI
422|||SI
423|||SI
428|||SI
430|||SI
431|SI|14.833679578693571|
433|||SI
439|||SI
440|SI|11.00158064234224|
445|||SI
456|||SI
458|||SI
459|||SI
460|SI|27.63524481099645|
467|||SI
486|||SI
487|||SI
489|||SI
491|||SI
493|||SI
503|SI|32.35800414702055|
506|||SI
508|||SI
509|||SI
512|||SI
516|||SI
521|SI|13.49959319655756|SI
532|||SI
534|||SI
536|||SI
537|SI|17.87930257280597|
542|||SI
546|||SI
549|||SI
550|||SI
554|||SI
555|||SI
558|||SI
566|||SI
571|SI|12.329799274876619|
572|||SI
575|SI|35.85922004139497|
577|SI|12.830043233548816|SI
580|||SI
582|SI|34.839342652422474|
584|SI|39.20626328774696|SI
592|SI|34.296679158156536|
594|||SI
597|SI|17.801654850834254|
598|||SI
601|||SI
606|||SI
607|SI|15.266320619634122|
617|||SI
622|||SI
624|||SI
627|||SI
628|||SI
631|||SI
632|||SI
634|||SI
638|||SI
643|||SI
646|||SI
667|||SI
668|SI|11.727815677742758|SI
669|||SI
678|||SI
680|||SI
683|||SI
687|||SI
692|||SI
697|SI|32.2320538398427|
701|||SI
702|||SI
706|||SI
711|||SI
712|SI|6.658876454867513|
715|||SI
719|SI|28.89125576438509|
724|SI|35.62769051874699|
725|SI|9.169862150429953|
733|||SI
735|SI|15.542471460967569|
736|||SI
742|||SI
748|SI|17.173730422734607|
755|||SI
760|||SI
770|SI|7.607001304565084|
771|SI|16.869772369732182|
774|||SI
775|||SI
786|||SI
788|||SI
790|||SI
793|||SI
795|||SI
799|||SI
800|||SI
801|SI|28.200440541006827|
805|||SI
810|||SI
814|||SI
818|||SI
821|||SI
825|||SI
833|||SI
858|SI|23.517469631023868|
861|||SI
